SL. No.,iso,Language_Name,Uninverted_Name,Autonym,Alternate_Names,Country_Code,Country_Namee,Is_Primary,is_Indigenous,Is_Established,All_Users,L1_Users,L2_Users,All_Full,L1_Full,L2_Full,Monolingual,Ethnic,Population_Year,Population_Total,Location,Subdivision,Latitude,Longitude,EGIDS,EGIDS_Label,Official_Recognition,LWC_Support,Classification,Dialect_Names,Relationships,Typology,Language_Use,Language_Contact,Use_as_L2,Literacy,Education,Literature,Revitalization,Language_Planning_Org,Scripts,General_Remarks,Religion
142,hoj,Haroti,Haroti,हाड़ौती‎ (Haroti),"Hadauti, Hadothi, Hadoti, Hara, Harauti",IN,India,T,T,T,2940000,2940000,,,"2,940,000 (2011 census).",,,,2011,,"Madhya Pradesh state: Neemuch district, 3 other border areas; Rajasthan state: Baran, Bundi, Jhalawar, and Kota districts.",Rajasthan,24.9978,76.1999,5,5* (Developing),,,"Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Western, Rajasthani, Unclassified",,"45% intelligibility with standard Marwari [rwr], 57%–67% with Merwari [wry], 58%–66% with Shekhawati [swv], 44%–67% with Godwari [gdx], 61%–71% with Mewari [mtr], 64%–73% with Dhundari [dhd], 52%–70% with Mewati [wtm], 55%–62% with Bagri [bgq], 63%–77% with Hindi [hin].",SOV.,"Vigorous. Home, village; market, religion. Positive attitudes.","Also use English [eng]. Also use Hindi [hin], with widespread bilingualism. 40% have very good proficiency, with greater proficiency among the educated.",,Literacy rate in L2: 75% in Kota District (2001 census).,,Literature. NT: 1822.,,,Devanagari script [Deva].,,"Hindu, Jain, Muslim."
143,bgc,Haryanvi,Haryanvi,हरियाणवी‎ (Hariyāṇvī),"Bangaru, Banger, Bangri, Bangru, Chamarwa, Desari, Hariani, Hariyani, Haryani, Jatu",IN,India,T,T,T,9810000,9810000,,,"9,810,000 in India (2011 census).",,,"16,000,000 (1992 SIL).",2011,"9,810,194 (as L1: 9,810,110; as L2: 84)","Haryana, Himachal Pradesh, Karnataka, Punjab, Rajasthan, and Uttar Pradesh states; Delhi.",Haryana,28.9444,76.365,5,5 (Developing),,,"Indo-European, Indo-Iranian, Indo-Aryan, Western Hindi, Unclassified","Bangaru Proper, Deswali, Khadar","Good intelligibility among dialects, but Haryanvi is not intelligible with Hindi [hin]. Reportedly most similar to Braj Bhasha [bra]. Lexical similarity: 92% among dialects.",,"Home, religion. Used by all. Positive attitudes.","Also use English [eng]. Also use Hindi [hin], with proficiency higher among the educated.",,Literacy rate in L2: 55% in Hindi [hin].,,Grammar. NT: 2017.,,,Devanagari script [Deva].,Khadar used by speakers in Jind to refer to the speech of Rohtak and Sonipat.,"Hindu, Muslim."
144,hin,Hindi,Hindi,"मानक हिन्दी‎ (Mānak Hindī), हिन्दी‎ (Hindī)",Modern Standard Hindi,IN,India,T,T,T,6.02E+08,3.39E+08,2.63E+08,"602,000,000 in India, all users.","339,000,000 in India (2011 census).","263,000,000 (2020).",,,2011,"609,009,930 (as L1: 345,249,930; as L2: 263,760,000)","Widespread in north India: northern Bihar, Himachal Pradesh, Madhya Pradesh, Punjab, Rajasthan, Uttar Pradesh, and Uttarakhand states; Delhi.",Delhi,26.2657,78.2713,1,1 (National),"Statutory national language (1950, Constitution, Article 343), also statutory provincial language in Bihar State and 12 other jurisdictions.",,"Indo-European, Indo-Iranian, Indo-Aryan, Western Hindi, Hindustani","Khari Boli (Dehlavi, Kauravi, Khadi Boli, Khari, Khariboli, Vernacular Hindustani)","Formal vocabulary borrowed from Sanskrit, de-Persianized, de-Arabicized. Literary Hindi, or Hindi-Urdu, has 4 varieties: Hindi (High Hindi, Nagari Hindi, Literary Hindi, standard Hindi); Urdu [urd]; Dakhini; Rekhta. Hindustani, though not listed separately in India, refers here to the unofficial lingua franca of northwest India. Has a lexical mixture in varying proportions of Hindi (vocabulary derived from Sanskrit) and Urdu (vocabulary derived from Persian or Arabic).","SOV; postpositions; noun head final; content q-word in situ; gender (masculine/feminine); no articles; clause constituents partially indicated by case-marking (direct, oblique), postpositions, and word order; verbal affixation marks person, number, gender, and honorificity of subject; split ergativity; both tense and aspect; passives and voice; causatives; non-tonal; 30 consonants, 10 vowels, 2 diphthongs; stress linked to syllable weight.",,,,,"Taught in all primary and secondary schools, more in northern India than in southern India. Taught in tertiary schools.",Fully developed. Bible: 1835–2000.,,,"Braille script [Brai]. Devanagari script [Deva], primary usage. Latin script [Latn], recent informal usage, especially online on social media. Mahajani script [Mahj], no longer in use, historic usage. Newa script [Newa], no longer in use, historic usage.","Hindi, Hindustani, Urdu could be considered co-dialects, but have important sociolinguistic differences.",Hindu.
145,hii,Hinduri,Hinduri,,Handuri,IN,India,T,T,T,47800,47800,,,"47,800 (2011 census).",,,,2011,,"Himachal Pradesh state: Solan district, Nalagarh, Ramshahr, and surrounding villages.",Himachal Pradesh,31.1707,76.9257,6a,6a* (Vigorous),,,"Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Western, Pahari, Western Pahari",,"Reportedly most similar to Bilaspuri [kfs]. Lexical similarity: 67% with Baghliani dialect of Mahasu Pahari [bfz] spoken in Arki, 60% with Lower Mahasui dialect of Pahari [bfz], 56% with Upper Mahasui dialect of Pahari [bfz] and Sirmauri [srx], 64% with Hindi.",,"Home, village. Positive attitudes.",Also use English [eng]. Also use Hindi [hin].,,,,,,,,,Hindu.
146,hmr,Hmar,Hmar,Hmar,"Hamar, Hmari, Mhar",IN,India,T,T,T,99000,99000,,,"99,000 (2011 census).",,,,2011,,"Assam state: Cachar district; Manipur state: south, Churachandpur, Tipaimukh, 35 villages; Mizoram state: Aizawl district; Tripura state.",Assam,25.0537,93.0223,4,4 (Educational),,,"Sino-Tibetan, Tibeto-Burman, Kuki-Chin, Central, Mizo",,Reportedly similar to Zou [zom].,,,Also use Assamese [asm]. Also use English [eng]. Also use Meitei [mni]. Also use Mizo [lus].,Used as L2 by Sakachep [sch].,Literacy rate in L2: 90%.,"Taught in primary schools in Assam, Manipur and Mizoram states.",Literature. Dictionary. Grammar. Bible: 1968–2004.,,,Latin script [Latn].,Ethnic Hmar living in Mizoram speak Mizo [lus] as L1.,Christian.
147,hoc,Ho,Ho,"Ho jagar, Ho kaji, Ho̅, हो जगर‎ (Ho jagar), ହୋ ଜାଗାର‎ (Ho jagaara), 𑢹𑣉𑣉 𑣎𑣋𑣜‎ (Ho jagar)","Bihar Ho, Hōō jagara, Ho haram, Ho: basa, Lanka Kol",IN,India,T,T,T,1420000,1420000,,,"1,420,000 (2011 census).",,,,2011,,"Bihar state; Jharkhand state: Purbi Singhbhum district, Kolhan, Seraikella; East Singhbhum district, Dhalbhum sub-district; Odisha state: Koenjhar and Mayurbhanj districts; West Bengal state.",Odisha,21.9285,85.767,5,5* (Developing),,,"Austro-Asiatic, Munda, North Munda, Kherwari, Mundari","Lohara, Chaibasa-Thakurmunda","Most understand Chaibasa and Thakurmunda dialects well; 90%–92% comprehend narrative discourse. Kherwari (Khanwar, Kharar, Kharoali, Kharwari) is group name for Ho, Mundari [unr], Munda [unx], and Santhali [sat], closely related languages, and other smaller languages or dialects. Lexical similarity: 85% between most dialects, except for 3 on Ho area east and south edges.",,Vigorous. Positive attitudes.,Also use English [eng]. Also use Hindi [hin]. Also use Odia [ory]. Also use Sadri [sck]. Also use Santhali [sat].,Used as L2 by Birhor [biy].,Literacy rate in L1: 1%–5%. Literacy rate in L2: 25%–50%. Literacy program in progress.,,Literature. Radio. Dictionary. Grammar. NT: 1997.,,,"Devanagari script [Deva], used in Bihar. Latin script [Latn]. Oriya (Odia) script [Orya], used in Odisha. Telugu script [Telu]. Warang Citi script [Wara].","Different from Ho (Hani [hni]) of Myanmar, China, Vietnam, Laos.","Traditional religion, Hindu."
148,hoy,Holiya,Holiya,,"Gohllaru, Golari-Kannada, Holar, Holari, Hole, Holian, Holu",IN,India,T,T,T,500,500,,,500 (2002 survey).,,,,2002,,Madhya Pradesh state: Balaghat and Seoni districts; Karnataka and Maharashtra states.,Karnataka,17.1438,76.5474,6b,6b* (Threatened),,,"Dravidian, Southern, Tamil-Kannada, Kannada",,,,,Also use English [eng]. Also use Kannada [kan].,,Literacy rate in L2: 5% in Kannada [kan].,,NT: 2020.,,,Devanagari script [Deva].,A Scheduled Caste in Madhya Pradesh.,"Hindu, traditional religion."
149,hra,Hrangkhol,Hrangkhol,,"Hrangkol, Rangkhol",IN,India,T,T,T,18700,18700,,,"18,700 (2000), decreasing.",,,,2000,,"Assam, Manipur, Mizoram, and Tripura states.",Assam,25.2507,93.1857,6b,6b (Threatened),,,"Sino-Tibetan, Tibeto-Burman, Kuki-Chin, Central, Mizo",Hadem,Reportedly most similar to Biate [biu].,SOV.,"Use declining in Mizoram, Manipur and even Assam; shifting to Assamese [asm] or Bengali [ben] (Van Driem 2007). Home, village. Some of all ages.",Some also use English [eng]. Also use Assamese [asm]. Also use Hindi [hin]. Also use Mizo [lus].,Used as L2 by Sakachep [sch].,Literature committee since 1960.,,Literature. Bible: 2006.,,,"Latin script [Latn], used in India.",,"Christian, Hindu, traditional religion."
150,hru,Hruso,Hruso,,"Aka, Angka, Angkae, Gusso, Hrusso, Tenae",IN,India,T,T,T,3000,3000,,,"3,000 (Van Driem 2007).",,,,2007,,"Arunachal Pradesh state: West Kameng district, Thrizino sub-district, Balipho, Bhalukpong, Buragaon, Dijungonia, Gijiri, Gohainthan, Husigaon, Jamiri, Karangonia, Khuppi, Palizi, Polatari, Raghupam, Raindogonia, Tania, Tulu, and Yayom villages; East Kameng district, Seppa sub-district, Pisang village.",Arunachal Pradesh,27.3323,92.6781,6b,6b (Threatened),,,"Sino-Tibetan, Tibeto-Burman, Central Tibeto-Burman, Hrusish","Hruso, Levai (Bangru, Ləvai)",No apparent wider affiliation within Tibeto-Burman. Varieties sometimes grouped under Tibeto-Burman as Hruish. Levai is similar to Miji [sjl] and may be a distinct language. Lexical similarity: 9% between Koro [jkr] and the Hruso dialect [hru]. Both are highly dissimilar to neighboring languages.,SOV.,"Steady shift away from Hruso, especially among youth educated outside the area. Some young people, all adults.",Also use Assamese [asm]. Also use English [eng]. Also use Hindi [hin]. Also use Miji [sjl].,"Used as L2 by Bugun [bgg], Miji [sjl].","Literacy rate in L2: 48%: males 58%, females 39% (2001 census).",,Literature.,,,Latin script [Latn].,"’Aka’, painted. Has 2 ethnic groups (Kavatsun and Kutsun) and an additional subdivision called Miri-Akas on the other side of Kaya River (known as Khrome) who speak Mising [mrg], not Hruso. Probably not the same as Plains Miri or Hill Miri (Mising) [mrg] (Sinha 1962). Aka in East Kameng District are called Koro Aka [jkr], distinct from Hruso Aka in West Kameng.","Traditional religion, Christian."
151,clk,Idu-Mishmi,Idu-Mishmi,Idu-Mishmi,"Ida, Idu, Midhi, Nedu, “Chulikata” (pej.), “Chulikotta” (pej.), “Sulikota” (pej.)",IN,India,T,T,T,4000,4000,,,"4,000 in India (2016 R. Blench).",,800 monolinguals.,,2016,"4,080","Arunachal Pradesh state: Dibang Valley district, Dibong Valley and Lower Dibong Valley districts; Assam state.",Arunachal Pradesh,28.7205,95.9266,6b,6b (Threatened),,,"Sino-Tibetan, Tibeto-Burman, Central Tibeto-Burman, Digarish","Midu, Mithu","Reportedly most similar to Digaro-Mishmi [mhu]. Different from Adi [adi]. Lexical similarity: 7% with the Miju-Mishmi dialect of Miju-Mishmi [mxj], 25% with Digaro-Mishmi [mhu].","SOV; postpositions; genitives before noun heads; numerals after noun heads, adjective and relatives before noun head; affixes indicate case of noun phrase; comparatives; nasal vowels; tonal (3 level tones: high, mid, low).","Home, community, religion. Some young people, all adults. Positive attitudes.","Also use Assamese [asm], especially older people. Also use English [eng], especially educated individuals. Also use Hindi [hin], especially younger people.",Used as L2 by Khamba [kbg].,Literacy rate in L2: 55% (2001 census).,,Dictionary. Grammar. Texts. NT: 2024.,,,Latin script [Latn].,"May not be in the Tani group, but is related.",Hindu.
152,ins,Indian Sign Language,Indian Sign Language,,"IPSL, ISL, Indo-Pakistani Sign Language, Urban Indian Sign Language",IN,India,T,T,T,6000000,6000000,,,"6,000,000 in India (2021 SIL). Estimated 4–8 million deaf signers, based on 0.3%–0.6% of the general population. Other estimates vary: 1.5 million (2008 S. Panda); 5.9 million profoundly deaf in India (2014 IMB); 8 million deaf signers (2017 Indian Sign Language Research and Training Centre).",,,,2021,"68,15,000",Scattered.,,27.2791,77.4043,5,5 (Developing),,,"Sign language, Deaf community sign language","Mumbai-Delhi, Kerala, Hyderabad (Andhra Pradesh), Bangalore (Karnataka), Chennai (Tamil Nadu)","Most sign language varieties in south Asia appear to be related, but there is considerable variation, which has only been partially assessed. Some scholars regard most varieties in India, Pakistan, Bangladesh and possibly Nepal as dialects of one language called Indo-Pakistani Sign Language (IPSL), while others feel at least some varieties should be recognized as separate languages. The ISO standard currently (as of 2020) distinguishes ISL from Pakistan Sign Language [pks], West Bengal Sign Language (Kolkata Sign Language) [wbs], and Nepalese Sign Language [nsp]. The variety that originated in Delhi is the most widely-recognized and promoted; Mumbai is very similar. Varieties in the southern Indian states of Andhra Pradesh, Karnataka, Kerala, and Tamil Nadu are quite divergent from the Delhi variety and may need to be recognized as a distinct language (2020 D. Eberle). Some villages, such as Alipur, Karnataka have an indigenous sign language unrelated to ISL (Panda 2012). Some influence from British Sign Language [bfi] in the fingerspelling system and a few other signs developed indigenously in India.",,Vigorous. Used by all.,"Many also use American Sign Language [ase], especially in Bangalore (Panda 2012).",,Literacy rate in L2: Below 2%. Male literacy rate in L2 is higher than female as boys are more likely to attend school.,,TV. Videos. Dictionary. Grammar. Bible portions: 2023–2024.,,Indian Sign Language Research and Training Centre at Indira Gandhi National Open University.,,"Only about 550–700 schools use ISL (2008 S. Panda, 2017 BBC). 2% or less of deaf children attend deaf schools, with a high drop-out rate. Vocational programs use ISL more often. Nearly all educated deaf are bilingual in a written language of wider communication to some degree, and ISL serves as a signed language of wider communication among deaf in India, especially in cities. The government and educational institutions promote the Delhi variety for use in the entire country. Starting 2001, interpreter training in Mumbai by the Ali Yavar Jung National Institute for Hearing Handicapped.",
153,idb,Indo-Portuguese,Indo-Portuguese,,Daman-Diu Portuguese,IN,India,T,T,T,4940,4940,,,"4,940 in India (Cardoso 2006).",,"Relatively few monolinguals, even in Korlai (Cardoso 2006).",,2006,"7,160",Kerala state: Kannur; Maharashtra state: Korlai near Mumbai; Daman and Diu Union Territory.,Maharashtra,19.8333,72.8703,6b,6b (Threatened),,,"Creole, Portuguese based","Cochin (Kochi), Diu, Cannanore",,,"It is mostly, if not entirely, spoken by multilingual speakers (Cardoso 2006). Some communities in India have no remaining speakers. Few remaining speakers in Cannanore; last speaker in Cochin, Mr. William Rozario, died on Vypeen Island (2010). Some young people, all adults.","Also use English [eng]. Also use Gujarati [guj]. Also use Hindi [hin]. Also use Marathi [mar]. Also use Portuguese [por], extensively (Cardoso 2006).",,,,Grammar. Texts. NT: 1826–1852.,,,Latin script [Latn].,The term Indo-Portuguese does not stand for 1 language but rather a number of Portuguese-lexified creoles scattered across South Asia (Cardoso 2006).,Christian.
154,iru,Irula,Irula,இருளா‎ (Irula),"Erukala, Irava, Irulan, Irular, Irular Mozhi, Irulavan, Iruliga, Iruligar, Kad Chensu, Korava",IN,India,T,T,T,11900,11900,,,"11,900 (2011 census).",,,"200,000 (2003 E. Udayakumar).",2011,,"Kerala state: Palakkad district, Attapady and Walayar sub-districts; Tamil Nadu state: Coimbatore, Nilgiri, Periyar districts; Andhra Pradesh and Karnataka states.",Tamil Nadu,11.1511,76.783,7,7 (Shifting),,,"Dravidian, Southern, Tamil-Kannada, Tamil-Kodagu, Tamil-Malayalam, Tamil","Mele Nadu Irula (Malanadu, Southern Irula), Northern Irula (Kasaba, Kasava, Kasuba), Vette Kada Irula (Irula Pallar, Vettakada), Irula Urali, Attapady Irula, Walayar Irula (Urali Irula)","Dialects: Vette Kada 73% intelligibility of Mele Nadu; Northern Irula 83% of Mele Nadu; no intelligibility of Tamil [tam] (1993 Irula survey); Vette Kada 94% of Attapady; Walayar 84% of Attapady. (2004 Palakkad survey). Lexical similarity: 78%–86% between Mele Nadu dialect varieties, 67%–70% with Northern Irula, 64%–66% with Vette Kada, 47%–50% with Tamil [tam]. Attapady has 73%–75% with Mele Nadu and 85%–89% with Vette Kada. Walayar has 74%–79% with Attapady, 76% with Vette Kada, and 69% with Mele Nadu.",SOV; postpositions; nontonal.,All domains. Positive attitudes.,Many shifting to Kannada [kan]. Many shifting to Tamil [tam]. Also use Badaga [bfq]. Also use English [eng]. Also use Malayalam [mal].,Used as L2 by Attapady Kurumba [pkr].,"Literacy rate in L2: 20% among adults, 50% among younger generation.",,Dictionary. Grammar. Texts. Bible portions: 2001–2013.,,,"Malayalam script [Mlym], used in Kerala. Tamil script [Taml], used in Tamil Nadu.","Some people called Irula speak Tamil [tam] as mother tongue. Urali Irula (Periyar) is separate from both Betta Kurumba Urali [xub] and Urali [url] in Idukki District, Kerala. Two Urali Irula dialects in Periyar and Palakkad.","Traditional religion, Christian."
